Entity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Georgia,6430.075354124716,6347.146228575854,6132.369013959844,5821.625949775319,5700.319293351749,5286.657635313619,5054.599992412461,4940.8751924579055,4894.163245206333,4847.507947417006,4906.450956594088,5046.851677814084,5469.3552142957815,5640.662398365587,5659.515140629427,5564.036066886458,5611.658400711906,5742.065594906286,6192.908854661867,6640.816116770233,6891.962876570232,7179.992903986734,7501.297072080691,7493.832535753678,7740.416375761413,8065.25057897575,8039.87092075869,7925.638816439796
India,402791.64818720095,416147.93816338014,429210.3690074737,434017.4756098594,438964.46596100397,444215.51137242786,457842.8714985629,484418.4522245212,496303.7519840399,501426.75322028657,514165.11984730075,525548.8606428754,534600.2408841173,542566.5048234932,544841.365882784,565274.9130398919,585792.9904985061,610879.1640878121,638461.5364906607,667158.1993298103,700348.4867914568,724663.883431206,745009.1871671119,776674.2939929364,816593.8190511732,856524.5526390666,900089.5816454969,929500.1489026772
Indonesia,97582.57246868756,100527.14481500543,103674.64750900891,106981.06140294462,110083.6486393174,113451.007998653,117226.36513063322,121059.65841072894,124837.7852479025,128983.62595728836,133310.83956574847,136991.41254527352,140699.05228579463,144249.04157000748,147717.2154186028,150634.15098885572,153952.8421432925,157465.6444651961,161042.22497675446,164571.83446605323,167933.25216390225,172134.10171478643,175339.22773411378,179188.6740582977,183533.4847175699,187951.28542223922,193713.73502435425,198834.8687409031
Iran,23482.84131592811,23716.992943065048,23929.45121947445,24059.45568769349,24307.692055782216,24526.55969199878,24517.998869401497,25001.70944191648,25503.46137320852,26398.5861620152,27468.032039088906,28810.847071715267,30028.806323440498,31540.55257764672,33416.83582771652,35408.27820579439,37581.182957614685,39704.272505532754,42391.434622316716,45416.856295057536,48185.65632886671,50689.25201461323,52934.45336313117,55537.55209835552,57791.279563465476,59536.80988108673,60142.8814171801,60600.45684756465
Iraq,8255.89314293246,8531.849904639083,8959.694444947138,9331.144524889394,9617.024424370564,9957.565166178912,10373.14864732891,10808.201144732437,10848.609918940923,11110.265426166223,11625.252744929161,11562.173066068744,12021.28249004709,12001.200146634348,12014.680288176443,11979.554061348708,11875.914890324904,11850.569015190837,12007.573386930691,12055.325622296823,12310.758881900232,12469.272312539004,12709.085103859728,13027.466864402722,13109.525560599468,13044.392499606429,13315.011414745513,13779.907936229558
Israel,6581.769690215468,7189.5436650351785,7764.999095787646,7987.480486364778,8431.993662029008,8893.121856049926,9171.907308561464,9483.473503099514,9841.373793309527,9990.799563136705,10251.276816059537,10213.231593160956,10380.815337412076,10462.663561745225,10488.074167460363,10839.494350949937,11001.591931204845,11381.187096406737,11436.896197554292,11505.259797263909,11735.089209516127,11944.711806985439,12022.665189126255,12190.288578561167,12201.707342981914,12540.227442739659,12674.444924610896,12966.000736751876
Japan,233042.4547566796,241566.60414981245,251110.29243400673,259037.88206286143,264149.43647106487,278294.38365253794,282920.21180564555,288844.8951900603,302559.77742949803,312204.198232271,314283.6569003707,319054.9699727164,323413.0317410678,333325.35648757353,340363.46806230885,351888.0034870144,354969.0228081625,362614.7596238242,369297.325158171,374336.11129664327,383921.5235447928,394634.4495009564,396371.2290439333,400766.36627567385,403629.0198891718,403258.24139915546,407220.4999700827,414698.07816161367
Jordan,1412.6590281992408,1472.9166934659486,1527.2547066421332,1589.9789565283331,1648.9372461292996,1710.0944114101176,1772.0175313686905,1822.6221878177414,1871.7858658501655,1918.9277368365592,1959.2219239438557,2011.7547893916642,2071.3087174661177,2114.8090370849577,2206.094427687528,2330.07655088277,2481.8237565148497,2560.028573777377,2648.6599674416525,2770.9065224809033,2920.0326872027567,3077.013262033077,3267.416572791488,3499.8742115574305,3732.464638676791,3966.870740443021,4231.016839316244,4502.0521748384135
Kazakhstan,22198.024543592466,22187.1036090199,22413.852337262506,23109.150021249123,23265.73077790189,23598.479866197198,23034.198555352028,21999.21389298389,20849.425721958418,19880.195474234857,20045.334595568573,19910.174384146976,19868.285005356764,20106.424242766363,20023.406874741067,20153.19101503782,20167.293142691,19790.04323258989,19339.43404730166,18880.27689528993,19294.624507266828,19272.23595252137,19075.492895020805,18242.151043572663,17692.943947559117,17565.682691572754,18082.00818837269,18399.63090713089
Kuwait,493.20780430472325,463.2264570334442,445.0546325533688,440.85649733668083,447.1582365729837,456.78832765819857,470.67983439928423,512.1817479404052,536.6895917244143,569.5624473126112,599.7279581307245,603.6033592814364,621.2155098588373,640.6146882855968,679.171891752396,729.852558263823,780.0216795493608,812.9144054311888,852.4857464137884,859.5310231493232,860.2037990914699,871.6680285697983,916.7858555246852,955.7691718833839,1010.5089031351257,1070.7478112900571,1152.5981651611528,1232.873620548461
